10,Liège-Saint-Lambert,"{'@id': 'http://irail.be/stations/NMBS/008841525', 'id': 'BE.NMBS.008841525', 'name': 'Liège-Saint-Lambert', 'locationX': '5.570453', 'locationY': '50.646349', 'standardname': 'Liège-Saint-Lambert'}",1767704880,0,0,0,0,BE.NMBS.IC2414,"{'name': 'BE.NMBS.IC2414', 'shortname': 'IC 2414', 'number': '2414', 'type': 'IC', 'locationX': '0', 'locationY': '0', '@id': 'http://irail.be/vehicle/IC2414'}",3,"{'name': '3', 'normal': '1'}","{'@id': 'http://api.irail.be/terms/unknown', 'name': 'unknown'}",http://irail.be/connections/8813003/20260106/IC2414
11,Antwerp-Central,"{'@id': 'http://irail.be/stations/NMBS/008821006', 'id': 'BE.NMBS.008821006', 'name': 'Antwerp-Central', 'locationX': '4.421101', 'locationY': '51.2172', 'standardname': 'Antwerpen-Centraal'}",1767704940,0,0,0,0,BE.NMBS.S11763,"{'name': 'BE.NMBS.S11763', 'shortname': 'S1 1763', 'number': '1763', 'type': 'S1', 'locationX': '0', 'locationY': '0', '@id': 'http://irail.be/vehicle/S11763'}",5,"{'name': '5', 'normal': '1'}","{'@id': 'http://api.irail.be/terms/unknown', 'name': 'unknown'}",http://irail.be/connections/8813003/20260106/S11763
12,Zottegem,"{'@id': 'http://irail.be/stations/NMBS/008895208', 'id': 'BE.NMBS.008895208', 'name': 'Zottegem', 'locationX': '3.81441', 'locationY': '50.869102', 'standardname': 'Zottegem'}",1767704940,0,0,0,0,BE.NMBS.S86585,"{'name': 'BE.NMBS.S86585', 'shortname': 'S8 6585', 'number': '6585', 'type': 'S8', 'locationX': '0', 'locationY': '0', '@id': 'http://irail.be/vehicle/S86585'}",4,"{'name': '4', 'normal': '1'}","{'@id': 'http://api.irail.be/terms/unknown', 'name': 'unknown'}",http://irail.be/connections/8813003/20260106/S86585
13,Denderleeuw,"{'@id': 'http://irail.be/stations/NMBS/008895802', 'id': 'BE.NMBS.008895802', 'name': 'Denderleeuw', 'locationX': '4.071825', 'locationY': '50.891925', 'standardname': 'Denderleeuw'}",1767705120,60,0,0,0,BE.NMBS.S32285,"{'name': 'BE.NMBS.S32285', 'shortname': 'S3 2285', 'number': '2285', 'type': 'S3', 'locationX': '0', 'locationY': '0', '@id': 'http://irail.be/vehicle/S32285'}",2,"{'name': '2', 'normal': '1'}","{'@id': 'http://api.irail.be/terms/unknown', 'name': 'unknown'}",http://irail.be/connections/8813003/20260106/S32285
14,Brussels-South/Brussels-Midi,"{'@id': 'http://irail.be/stations/NMBS/008814001', 'id': 'BE.NMBS.008814001', 'name': 'Brussels-South/Brussels-Midi', 'locationX': '4.336531', 'locationY': '50.835707', 'standardname': 'Brussel-Zuid/Bruxelles-Midi'}",1767705180,420,0,0,0,BE.NMBS.EC9232,"{'name': 'BE.NMBS.EC9232', 'shortname': 'EC 9232', 'number': '9232', 'type': 'EC', 'locationX': '0', 'locationY': '0', '@id': 'http://irail.be/vehicle/EC9232'}",4,"{'name': '4', 'normal': '1'}","{'@id': 'http://api.irail.be/terms/unknown', 'name': 'unknown'}",http://irail.be/connections/8813003/20260106/EC9232
15,Brussels Airport - Zaventem,"{'@id': 'http://irail.be/stations/NMBS/008819406', 'id': 'BE.NMBS.008819406', 'name': 'Brussels Airport - Zaventem', 'locationX': '4.482076', 'locationY': '50.896456', 'standardname': 'Brussels Airport - Zaventem'}",1767705240,0,0,0,0,BE.NMBS.IC3713,"{'name': 'BE.NMBS.IC3713', 'shortname': 'IC 3713', 'number': '3713', 'type': 'IC', 'locationX': '0', 'locationY': '0', '@id': 'http://irail.be/vehicle/IC3713'}",1,"{'name': '1', 'normal': '1'}","{'@id': 'http://api.irail.be/terms/unknown', 'name': 'unknown'}",http://irail.be/connections/8813003/20260106/IC3713
16,Genk,"{'@id': 'http://irail.be/stations/NMBS/008831765', 'id': 'BE.NMBS.008831765', 'name': 'Genk', 'locationX': '5.497685', 'locationY': '50.967057', 'standardname': 'Genk'}",1767705360,0,0,0,0,BE.NMBS.IC3613,"{'name': 'BE.NMBS.IC3613', 'shortname': 'IC 3613', 'number': '3613', 'type': 'IC', 'locationX': '0', 'locationY': '0', '@id': 'http://irail.be/vehicle/IC3613'}",3,"{'name': '3', 'normal': '1'}","{'@id': 'http://api.irail.be/terms/unknown', 'name': 'unknown'}",http://irail.be/connections/8813003/20260106/IC3613
17,Ghent-Sint-Pieters,"{'@id': 'http://irail.be/stations/NMBS/008892007', 'id': 'BE.NMBS.008892007', 'name': 'Ghent-Sint-Pieters', 'locationX': '3.710675', 'locationY': '51.035896', 'standardname': 'Gent-Sint-Pieters'}",1767705360,0,0,0,0,BE.NMBS.IC2235,"{'name': 'BE.NMBS.IC2235', 'shortname': 'IC 2235', 'number': '2235', 'type': 'IC', 'locationX': '0', 'locationY': '0', '@id': 'http://irail.be/vehicle/IC2235'}",2,"{'name': '2', 'normal': '1'}","{'@id': 'http://api.irail.be/terms/unknown', 'name': 'unknown'}",http://irail.be/connections/8813003/20260106/IC2235
18,Liège-Guillemins,"{'@id': 'http://irail.be/stations/NMBS/008841004', 'id': 'BE.NMBS.008841004', 'name': 'Liège-Guillemins', 'locationX': '5.566695', 'locationY': '50.62455', 'standardname': 'Liège-Guillemins'}",1767705480,0,0,0,0,BE.NMBS.IC2812,"{'name': 'BE.NMBS.IC2812', 'shortname': 'IC 2812', 'number': '2812', 'type': 'IC', 'locationX': '0', 'locationY': '0', '@id': 'http://irail.be/vehicle/IC2812'}",1,"{'name': '1', 'normal': '1'}","{'@id': 'http://api.irail.be/terms/unknown', 'name': 'unknown'}",http://irail.be/connections/8813003/20260106/IC2812
19,Nivelles,"{'@id': 'http://irail.be/stations/NMBS/008814209', 'id': 'BE.NMBS.008814209', 'name': 'Nivelles', 'locationX': '4.335065', 'locationY': '50.599641', 'standardname': 'Nivelles'}",1767705480,120,0,0,0,BE.NMBS.S11985,"{'name': 'BE.NMBS.S11985', 'shortname': 'S1 1985', 'number': '1985', 'type': 'S1', 'locationX': '0', 'locationY': '0', '@id': 'http://irail.be/vehicle/S11985'}",6,"{'name': '6', 'normal': '1'}","{'@id': 'http://api.irail.be/terms/unknown', 'name': 'unknown'}",http://irail.be/connections/8813003/20260106/S11985
